kind,first_text,first_strings,context,occurrences,bCs,bold,cs_bold,eastAsia,font,font_size,hint_cs,style,szCs
subject_normal,,,,0,False,True,True,False,,152400,False,DefaultParagraphFont,22
subject_small,,,,0,False,,True,False,,,True,s02,False
definition_small,,,,0,False,True,,False,,114300,True,s02,18
subject_normal,,,,0,False,True,True,False,,139700,False,s02,22
source_normal,,,,0,0,True,False,False,,114300,True,s11,18
sub-subject_normal,,,,0,False,True,,False,,114300,False,s01,20
subject_light,,,,0,False,,,False,,,False,s16,False
definition_normal,,,,0,False,True,,False,,,True,DefaultParagraphFont,False
source_small,,,,0,False,,,False,,114300,True,s03,16
subject_small,,,,0,False,,,False,,114300,True,s01,20
sub-subject_normal,,,,0,False,True,,False,,,False,s11,False
definition_normal,,,,0,False,,,False,,127000,True,s05,20
subject_small,,,,0,False,,,False,,114300,False,s01,20
sub-subject_normal,,,,0,False,,,False,,127000,False,s11,False
definition_normal,,,,0,False,,,False,,,False,s03,20
subject_normal,,,,0,False,,,False,,139700,False,s11,22
definition_light,,,,0,False,,,False,,,True,s048,False
subject_small,,,,0,False,,,True,,,False,s1510,False
subject_normal,,,,0,False,True,True,False,,139700,False,DefaultParagraphFont,22
subject_normal,,,,0,False,,,False,,139700,False,s1510,22
definition_normal,,,,0,False,,,False,,152400,True,s02,False
subject_light,,,,0,False,True,True,False,,,True,s04,False
subject_normal,,,,0,False,True,,False,,,False,s01,False
sub-subject_normal,,,,0,False,True,True,True,,,False,DefaultParagraphFont,False
subject_normal,,,,0,False,True,True,False,,139700,True,s03,22
sub-subject_small,,,,0,False,True,True,True,,,False,s03,False
